total_doc_num=500 doc_type=2 qry_type=2
VOM19980227.0900.2416 9.122484e-002 VOM19980227.0900.2416
VOM19980220.0700.1055 9.101096e-002 VOM19980220.0700.1055
VOM19980414.0900.0137 9.084113e-002 VOM19980414.0900.0137
VOM19980225.0900.2154 9.029640e-002 VOM19980225.0900.2154
VOM19980317.0700.3414 8.926362e-002 VOM19980317.0700.3414
VOM19980317.0900.1247 8.709890e-002 VOM19980317.0900.1247
VOM19980301.0700.0136 8.703009e-002 VOM19980301.0700.0136
VOM19980619.0700.0421 8.687565e-002 VOM19980619.0700.0421
VOM19980524.0730.0237 8.634160e-002 VOM19980524.0730.0237
VOM19980524.0700.0337 8.634160e-002 VOM19980524.0700.0337
VOM19980302.0900.2091 8.619816e-002 VOM19980302.0900.2091
VOM19980222.0700.2148 8.528330e-002 VOM19980222.0700.2148
VOM19980625.0730.0090 8.419278e-002 VOM19980625.0730.0090
VOM19980620.0700.0040 8.359822e-002 VOM19980620.0700.0040
VOM19980227.0900.1346 8.284906e-002 VOM19980227.0900.1346
VOM19980603.0900.0203 8.233049e-002 VOM19980603.0900.0203
VOM19980305.0900.0492 8.182761e-002 VOM19980305.0900.0492
VOM19980504.0700.0222 8.108046e-002 VOM19980504.0700.0222
VOM19980315.0700.2184 8.042675e-002 VOM19980315.0700.2184
VOM19980327.0900.0297 8.017121e-002 VOM19980327.0900.0297
VOM19980319.0700.2536 8.002651e-002 VOM19980319.0700.2536
VOM19980327.0900.1545 7.991278e-002 VOM19980327.0900.1545
VOM19980303.0700.2491 7.951694e-002 VOM19980303.0700.2491
VOM19980316.0900.3018 7.922541e-002 VOM19980316.0900.3018
VOM19980531.0730.0120 7.829153e-002 VOM19980531.0730.0120
VOM19980403.0700.0727 7.820111e-002 VOM19980403.0700.0727
VOM19980220.0900.2019 7.809412e-002 VOM19980220.0900.2019
VOM19980224.0700.2219 7.725854e-002 VOM19980224.0700.2219
VOM19980624.0900.0112 7.724186e-002 VOM19980624.0900.0112
VOM19980529.0700.0415 7.666059e-002 VOM19980529.0700.0415
VOM19980403.0700.0129 7.654831e-002 VOM19980403.0700.0129
VOM19980530.0700.0260 7.589165e-002 VOM19980530.0700.0260
VOM19980627.0700.0466 7.576428e-002 VOM19980627.0700.0466
VOM19980327.0900.1954 7.570381e-002 VOM19980327.0900.1954
VOM19980527.0700.0200 7.476829e-002 VOM19980527.0700.0200
VOM19980624.0730.0079 7.449431e-002 VOM19980624.0730.0079
VOM19980302.0700.0779 7.432973e-002 VOM19980302.0700.0779
VOM19980403.0700.2482 7.429266e-002 VOM19980403.0700.2482
VOM19980306.0700.1916 7.411677e-002 VOM19980306.0700.1916
VOM19980223.0700.2728 7.407777e-002 VOM19980223.0700.2728
VOM19980325.0900.3063 7.397427e-002 VOM19980325.0900.3063
VOM19980315.0700.2291 7.322106e-002 VOM19980315.0700.2291
VOM19980220.0900.3504 7.262708e-002 VOM19980220.0900.3504
VOM19980617.0900.0052 7.250904e-002 VOM19980617.0900.0052
VOM19980312.0900.2795 7.250062e-002 VOM19980312.0900.2795
VOM19980623.0700.0314 7.173935e-002 VOM19980623.0700.0314
VOM19980410.0900.0267 7.137202e-002 VOM19980410.0900.0267
VOM19980220.0700.0772 7.005150e-002 VOM19980220.0700.0772
VOM19980224.0700.0330 6.961685e-002 VOM19980224.0700.0330
VOM19980511.0730.0066 6.812847e-002 VOM19980511.0730.0066
VOM19980303.0700.0324 6.768440e-002 VOM19980303.0700.0324
VOM19980505.0730.0186 6.700756e-002 VOM19980505.0730.0186
VOM19980505.0700.0344 6.700756e-002 VOM19980505.0700.0344
VOM19980317.0900.1996 6.698881e-002 VOM19980317.0900.1996
VOM19980317.0900.0192 6.698881e-002 VOM19980317.0900.0192
VOM19980530.0730.0166 6.647103e-002 VOM19980530.0730.0166
VOM19980530.0700.0318 6.647103e-002 VOM19980530.0700.0318
VOM19980317.0700.0220 6.639791e-002 VOM19980317.0700.0220
VOM19980528.0900.0106 6.613980e-002 VOM19980528.0900.0106
VOM19980312.0900.1243 6.484160e-002 VOM19980312.0900.1243
VOM19980220.0700.1159 6.472706e-002 VOM19980220.0700.1159
VOM19980627.0730.0242 6.379582e-002 VOM19980627.0730.0242
VOM19980302.0700.1577 6.374408e-002 VOM19980302.0700.1577
VOM19980314.0700.2300 6.317447e-002 VOM19980314.0700.2300
VOM19980220.0900.2967 6.282894e-002 VOM19980220.0900.2967
VOM19980303.0700.1291 6.271645e-002 VOM19980303.0700.1291
VOM19980326.0700.0480 6.264096e-002 VOM19980326.0700.0480
VOM19980413.0900.0139 6.235687e-002 VOM19980413.0900.0139
VOM19980515.0700.0434 6.220621e-002 VOM19980515.0700.0434
VOM19980625.0730.0264 6.197289e-002 VOM19980625.0730.0264
VOM19980305.0700.0560 6.153876e-002 VOM19980305.0700.0560
VOM19980511.0700.0105 6.149182e-002 VOM19980511.0700.0105
VOM19980421.0900.0113 6.147155e-002 VOM19980421.0900.0113
VOM19980515.0730.0248 6.143118e-002 VOM19980515.0730.0248
VOM19980327.0900.1287 6.099416e-002 VOM19980327.0900.1287
VOM19980326.0900.0218 6.047529e-002 VOM19980326.0900.0218
VOM19980524.0730.0003 6.023091e-002 VOM19980524.0730.0003
VOM19980627.0700.0390 6.021212e-002 VOM19980627.0700.0390
VOM19980319.0900.0647 6.020588e-002 VOM19980319.0900.0647
VOM19980403.0900.0124 6.019122e-002 VOM19980403.0900.0124
VOM19980618.0900.0204 5.984200e-002 VOM19980618.0900.0204
VOM19980220.0900.2583 5.962829e-002 VOM19980220.0900.2583
VOM19980605.0700.0528 5.919887e-002 VOM19980605.0700.0528
VOM19980529.0900.0210 5.916069e-002 VOM19980529.0900.0210
VOM19980403.0900.3300 5.885210e-002 VOM19980403.0900.3300
VOM19980403.0900.0431 5.869994e-002 VOM19980403.0900.0431
VOM19980613.0700.0555 5.847294e-002 VOM19980613.0700.0555
VOM19980306.0700.0671 5.842981e-002 VOM19980306.0700.0671
VOM19980317.0900.0424 5.835959e-002 VOM19980317.0900.0424
VOM19980222.0700.1986 5.751041e-002 VOM19980222.0700.1986
VOM19980315.0700.0180 5.742328e-002 VOM19980315.0700.0180
VOM19980403.0700.1459 5.736116e-002 VOM19980403.0700.1459
VOM19980515.0900.0164 5.730738e-002 VOM19980515.0900.0164
VOM19980620.0730.0003 5.720733e-002 VOM19980620.0730.0003
VOM19980527.0730.0003 5.703336e-002 VOM19980527.0730.0003
VOM19980227.0900.0358 5.664053e-002 VOM19980227.0900.0358
VOM19980305.0700.0763 5.652042e-002 VOM19980305.0700.0763
VOM19980403.0900.2034 5.624694e-002 VOM19980403.0900.2034
VOM19980227.0900.2729 5.500871e-002 VOM19980227.0900.2729
VOM19980524.0700.0112 5.497134e-002 VOM19980524.0700.0112
VOM19980505.0700.0438 5.471442e-002 VOM19980505.0700.0438
VOM19980505.0700.0384 5.457430e-002 VOM19980505.0700.0384
VOM19980223.0900.1151 5.455022e-002 VOM19980223.0900.1151
VOM19980311.0700.1701 5.451101e-002 VOM19980311.0700.1701
VOM19980510.0700.0125 5.407684e-002 VOM19980510.0700.0125
VOM19980621.0700.0052 5.347497e-002 VOM19980621.0700.0052
VOM19980430.0900.0231 5.342113e-002 VOM19980430.0900.0231
VOM19980317.0900.1561 5.286254e-002 VOM19980317.0900.1561
VOM19980624.0700.0158 5.248088e-002 VOM19980624.0700.0158
VOM19980527.0900.0008 5.243318e-002 VOM19980527.0900.0008
VOM19980303.0700.0696 5.177520e-002 VOM19980303.0700.0696
VOM19980618.0700.0144 5.141583e-002 VOM19980618.0700.0144
VOM19980529.0900.0148 5.083235e-002 VOM19980529.0900.0148
VOM19980223.0900.2288 5.063550e-002 VOM19980223.0900.2288
VOM19980626.0900.0096 5.013757e-002 VOM19980626.0900.0096
VOM19980626.0730.0094 5.013757e-002 VOM19980626.0730.0094
VOM19980529.0730.0148 4.977286e-002 VOM19980529.0730.0148
VOM19980403.0700.0185 4.964722e-002 VOM19980403.0700.0185
VOM19980623.0730.0140 4.963329e-002 VOM19980623.0730.0140
VOM19980319.0700.0177 4.917776e-002 VOM19980319.0700.0177
VOM19980403.0900.0173 4.915589e-002 VOM19980403.0900.0173
VOM19980315.0700.1857 4.898715e-002 VOM19980315.0700.1857
VOM19980220.0900.0496 4.859317e-002 VOM19980220.0900.0496
VOM19980626.0700.0212 4.845662e-002 VOM19980626.0700.0212
VOM19980303.0900.0877 4.842586e-002 VOM19980303.0900.0877
VOM19980422.0900.0090 4.796728e-002 VOM19980422.0900.0090
VOM19980515.0700.0170 4.795890e-002 VOM19980515.0700.0170
VOM19980316.0700.0219 4.772191e-002 VOM19980316.0700.0219
VOM19980613.0730.0273 4.770504e-002 VOM19980613.0730.0273
VOM19980222.0700.2530 4.763106e-002 VOM19980222.0700.2530
VOM19980527.0700.0042 4.744970e-002 VOM19980527.0700.0042
VOM19980325.0900.2916 4.729576e-002 VOM19980325.0900.2916
VOM19980511.0700.0193 4.671685e-002 VOM19980511.0700.0193
VOM19980327.0900.2255 4.652118e-002 VOM19980327.0900.2255
VOM19980227.0900.0482 4.591162e-002 VOM19980227.0900.0482
VOM19980507.0900.0191 4.571402e-002 VOM19980507.0900.0191
VOM19980325.0900.1458 4.514971e-002 VOM19980325.0900.1458
VOM19980621.0730.0001 4.511229e-002 VOM19980621.0730.0001
VOM19980227.0900.3069 4.471992e-002 VOM19980227.0900.3069
VOM19980224.0900.1247 4.449971e-002 VOM19980224.0900.1247
VOM19980511.0730.0099 4.447125e-002 VOM19980511.0730.0099
VOM19980326.0900.2725 4.430922e-002 VOM19980326.0900.2725
VOM19980510.0700.0568 4.430462e-002 VOM19980510.0700.0568
VOM19980317.0900.0261 4.421208e-002 VOM19980317.0900.0261
VOM19980511.0900.0067 4.418391e-002 VOM19980511.0900.0067
VOM19980507.0700.0034 4.402874e-002 VOM19980507.0700.0034
VOM19980619.0730.0249 4.372447e-002 VOM19980619.0730.0249
VOM19980319.0700.0352 4.365699e-002 VOM19980319.0700.0352
VOM19980508.0900.0038 4.323706e-002 VOM19980508.0900.0038
VOM19980302.0900.1669 4.292777e-002 VOM19980302.0900.1669
VOM19980414.0900.0010 4.291732e-002 VOM19980414.0900.0010
VOM19980314.0700.1872 4.237942e-002 VOM19980314.0700.1872
VOM19980314.0700.0199 4.237942e-002 VOM19980314.0700.0199
VOM19980316.0900.0475 4.223829e-002 VOM19980316.0900.0475
VOM19980228.0700.2616 4.223661e-002 VOM19980228.0700.2616
VOM19980606.0700.0562 4.155912e-002 VOM19980606.0700.0562
VOM19980326.0900.3077 4.132747e-002 VOM19980326.0900.3077
VOM19980523.0700.0348 4.073437e-002 VOM19980523.0700.0348
VOM19980315.0700.1310 4.034813e-002 VOM19980315.0700.1310
VOM19980530.0700.0107 4.032162e-002 VOM19980530.0700.0107
VOM19980616.0700.0359 3.989359e-002 VOM19980616.0700.0359
VOM19980303.0900.1169 3.980443e-002 VOM19980303.0900.1169
VOM19980327.0900.2123 3.975933e-002 VOM19980327.0900.2123
VOM19980316.0700.3473 3.967696e-002 VOM19980316.0700.3473
VOM19980327.0900.2652 3.966139e-002 VOM19980327.0900.2652
VOM19980303.0700.0655 3.945890e-002 VOM19980303.0700.0655
VOM19980305.0700.1484 3.937249e-002 VOM19980305.0700.1484
VOM19980523.0730.0147 3.930710e-002 VOM19980523.0730.0147
VOM19980224.0900.2505 3.897024e-002 VOM19980224.0900.2505
VOM19980423.0900.0253 3.896267e-002 VOM19980423.0900.0253
VOM19980423.0900.0201 3.870232e-002 VOM19980423.0900.0201
VOM19980403.0900.1341 3.857266e-002 VOM19980403.0900.1341
VOM19980327.0900.0255 3.814619e-002 VOM19980327.0900.0255
VOM19980403.0700.3400 3.808844e-002 VOM19980403.0700.3400
VOM19980618.0730.0119 3.794394e-002 VOM19980618.0730.0119
VOM19980220.0700.3153 3.786945e-002 VOM19980220.0700.3153
VOM19980223.0700.1993 3.782819e-002 VOM19980223.0700.1993
VOM19980625.0730.0124 3.772967e-002 VOM19980625.0730.0124
VOM19980603.0700.0457 3.761652e-002 VOM19980603.0700.0457
VOM19980613.0700.0499 3.751136e-002 VOM19980613.0700.0499
VOM19980616.0900.0077 3.718623e-002 VOM19980616.0900.0077
VOM19980616.0730.0252 3.718623e-002 VOM19980616.0730.0252
VOM19980306.0700.0238 3.715667e-002 VOM19980306.0700.0238
VOM19980317.0900.3162 3.695323e-002 VOM19980317.0900.3162
VOM19980403.0900.0301 3.675252e-002 VOM19980403.0900.0301
VOM19980325.0900.3506 3.666892e-002 VOM19980325.0900.3506
VOM19980312.0900.2127 3.637933e-002 VOM19980312.0900.2127
VOM19980327.0900.3386 3.634110e-002 VOM19980327.0900.3386
VOM19980327.0900.1892 3.634110e-002 VOM19980327.0900.1892
VOM19980228.0700.1050 3.611656e-002 VOM19980228.0700.1050
VOM19980315.0700.1383 3.610769e-002 VOM19980315.0700.1383
VOM19980624.0700.0288 3.586278e-002 VOM19980624.0700.0288
VOM19980223.0700.1295 3.551675e-002 VOM19980223.0700.1295
VOM19980510.0700.0480 3.548832e-002 VOM19980510.0700.0480
VOM19980319.0900.2169 3.536946e-002 VOM19980319.0900.2169
VOM19980609.0700.0085 3.531608e-002 VOM19980609.0700.0085
VOM19980403.0900.2195 3.525493e-002 VOM19980403.0900.2195
VOM19980618.0700.0315 3.517669e-002 VOM19980618.0700.0315
VOM19980302.0700.2840 3.453316e-002 VOM19980302.0700.2840
VOM19980625.0700.0205 3.445186e-002 VOM19980625.0700.0205
VOM19980316.0900.2108 3.444578e-002 VOM19980316.0900.2108
VOM19980602.0900.0084 3.361578e-002 VOM19980602.0900.0084
VOM19980325.0900.3393 3.317777e-002 VOM19980325.0900.3393
VOM19980617.0900.0206 3.314865e-002 VOM19980617.0900.0206
VOM19980619.0700.0040 3.303575e-002 VOM19980619.0700.0040
VOM19980224.0900.2174 3.296116e-002 VOM19980224.0900.2174
VOM19980325.0900.2995 3.286413e-002 VOM19980325.0900.2995
VOM19980609.0730.0043 3.253265e-002 VOM19980609.0730.0043
VOM19980407.0900.0263 3.226900e-002 VOM19980407.0900.0263
VOM19980515.0700.0236 3.199304e-002 VOM19980515.0700.0236
VOM19980325.0900.2250 3.181719e-002 VOM19980325.0900.2250
VOM19980503.0700.0412 3.159688e-002 VOM19980503.0700.0412
VOM19980316.0900.3396 3.142107e-002 VOM19980316.0900.3396
VOM19980625.0700.0363 3.129099e-002 VOM19980625.0700.0363
VOM19980227.0900.3207 3.041862e-002 VOM19980227.0900.3207
VOM19980326.0700.2676 3.041639e-002 VOM19980326.0700.2676
VOM19980610.0730.0140 3.034174e-002 VOM19980610.0730.0140
VOM19980224.0700.0719 3.027127e-002 VOM19980224.0700.0719
VOM19980302.0700.2334 3.008418e-002 VOM19980302.0700.2334
VOM19980228.0700.0268 2.973697e-002 VOM19980228.0700.0268
VOM19980602.0730.0102 2.973172e-002 VOM19980602.0730.0102
VOM19980303.0900.2085 2.928866e-002 VOM19980303.0900.2085
VOM19980315.0700.3470 2.897699e-002 VOM19980315.0700.3470
VOM19980603.0900.0116 2.893464e-002 VOM19980603.0900.0116
VOM19980222.0700.1501 2.891884e-002 VOM19980222.0700.1501
VOM19980303.0900.1975 2.882385e-002 VOM19980303.0900.1975
VOM19980613.0700.0112 2.881267e-002 VOM19980613.0700.0112
VOM19980624.0700.0486 2.876305e-002 VOM19980624.0700.0486
VOM19980609.0730.0182 2.867472e-002 VOM19980609.0730.0182
VOM19980306.0700.1456 2.840760e-002 VOM19980306.0700.1456
VOM19980602.0900.0035 2.836003e-002 VOM19980602.0900.0035
VOM19980326.0700.1793 2.835280e-002 VOM19980326.0700.1793
VOM19980305.0700.0436 2.807165e-002 VOM19980305.0700.0436
VOM19980522.0700.0503 2.755895e-002 VOM19980522.0700.0503
VOM19980315.0700.2508 2.738581e-002 VOM19980315.0700.2508
VOM19980319.0700.0722 2.706484e-002 VOM19980319.0700.0722
VOM19980225.0900.2949 2.698427e-002 VOM19980225.0900.2949
VOM19980305.0700.0354 2.678708e-002 VOM19980305.0700.0354
VOM19980511.0700.0388 2.669191e-002 VOM19980511.0700.0388
VOM19980422.0900.0246 2.668720e-002 VOM19980422.0900.0246
VOM19980317.0700.1338 2.658755e-002 VOM19980317.0700.1338
VOM19980316.0900.3433 2.648178e-002 VOM19980316.0900.3433
VOM19980311.0700.1006 2.643432e-002 VOM19980311.0700.1006
VOM19980327.0900.1984 2.642989e-002 VOM19980327.0900.1984
VOM19980327.0900.0327 2.642989e-002 VOM19980327.0900.0327
VOM19980326.0900.2611 2.639218e-002 VOM19980326.0900.2611
VOM19980421.0900.0180 2.609074e-002 VOM19980421.0900.0180
VOM19980609.0900.0255 2.551909e-002 VOM19980609.0900.0255
VOM19980612.0700.0141 2.542240e-002 VOM19980612.0700.0141
VOM19980228.0700.2873 2.493637e-002 VOM19980228.0700.2873
VOM19980508.0700.0034 2.485901e-002 VOM19980508.0700.0034
VOM19980326.0700.1374 2.458434e-002 VOM19980326.0700.1374
VOM19980624.0900.0190 2.455092e-002 VOM19980624.0900.0190
VOM19980327.0900.3495 2.454896e-002 VOM19980327.0900.3495
VOM19980530.0730.0234 2.449119e-002 VOM19980530.0730.0234
VOM19980530.0700.0476 2.449119e-002 VOM19980530.0700.0476
VOM19980311.0700.0565 2.438751e-002 VOM19980311.0700.0565
VOM19980327.0900.3463 2.432906e-002 VOM19980327.0900.3463
VOM19980520.0900.0042 2.425734e-002 VOM19980520.0900.0042
VOM19980619.0700.0307 2.419035e-002 VOM19980619.0700.0307
VOM19980527.0730.0119 2.412437e-002 VOM19980527.0730.0119
VOM19980620.0700.0552 2.408658e-002 VOM19980620.0700.0552
VOM19980303.0700.0590 2.391054e-002 VOM19980303.0700.0590
VOM19980528.0900.0169 2.387425e-002 VOM19980528.0900.0169
VOM19980630.0700.0187 2.358318e-002 VOM19980630.0700.0187
VOM19980424.0900.0178 2.323237e-002 VOM19980424.0900.0178
VOM19980226.0900.3196 2.308204e-002 VOM19980226.0900.3196
VOM19980407.0900.0140 2.297569e-002 VOM19980407.0900.0140
VOM19980509.0700.0487 2.258891e-002 VOM19980509.0700.0487
VOM19980222.0700.2819 2.243291e-002 VOM19980222.0700.2819
VOM19980501.0700.0379 2.239514e-002 VOM19980501.0700.0379
VOM19980520.0730.0188 2.224538e-002 VOM19980520.0730.0188
VOM19980625.0730.0167 2.206203e-002 VOM19980625.0730.0167
VOM19980625.0700.0277 2.206203e-002 VOM19980625.0700.0277
VOM19980326.0900.0576 2.198715e-002 VOM19980326.0900.0576
VOM19980530.0730.0037 2.194552e-002 VOM19980530.0730.0037
VOM19980527.0900.0083 2.181248e-002 VOM19980527.0900.0083
VOM19980319.0700.2216 2.178980e-002 VOM19980319.0700.2216
VOM19980311.0700.0756 2.167581e-002 VOM19980311.0700.0756
VOM19980314.0700.2134 2.159799e-002 VOM19980314.0700.2134
VOM19980501.0700.0148 2.155410e-002 VOM19980501.0700.0148
VOM19980223.0700.0562 2.126028e-002 VOM19980223.0700.0562
VOM19980325.0900.1209 2.122289e-002 VOM19980325.0900.1209
VOM19980227.0900.0912 2.119067e-002 VOM19980227.0900.0912
VOM19980304.0700.0584 2.080569e-002 VOM19980304.0700.0584
VOM19980316.0700.2819 2.063367e-002 VOM19980316.0700.2819
VOM19980624.0700.0343 2.058459e-002 VOM19980624.0700.0343
VOM19980312.0900.2408 2.049301e-002 VOM19980312.0900.2408
VOM19980614.0700.0431 2.046666e-002 VOM19980614.0700.0431
VOM19980222.0700.0302 2.043367e-002 VOM19980222.0700.0302
VOM19980326.0700.0901 2.030136e-002 VOM19980326.0700.0901
VOM19980410.0900.0104 2.029742e-002 VOM19980410.0900.0104
VOM19980303.0900.2332 2.024923e-002 VOM19980303.0900.2332
VOM19980220.0900.3430 2.024648e-002 VOM19980220.0900.3430
VOM19980316.0900.1523 2.003362e-002 VOM19980316.0900.1523
VOM19980325.0900.0195 2.000277e-002 VOM19980325.0900.0195
VOM19980509.0700.0043 1.996102e-002 VOM19980509.0700.0043
VOM19980227.0900.3467 1.977193e-002 VOM19980227.0900.3467
VOM19980227.0900.2094 1.977193e-002 VOM19980227.0900.2094
VOM19980228.0700.2757 1.970824e-002 VOM19980228.0700.2757
VOM19980612.0730.0039 1.965541e-002 VOM19980612.0730.0039
VOM19980317.0700.0420 1.951873e-002 VOM19980317.0700.0420
VOM19980311.0700.2960 1.943085e-002 VOM19980311.0700.2960
VOM19980523.0700.0312 1.942823e-002 VOM19980523.0700.0312
VOM19980521.0700.0039 1.929100e-002 VOM19980521.0700.0039
VOM19980225.0900.0458 1.919094e-002 VOM19980225.0900.0458
VOM19980304.0900.1823 1.897245e-002 VOM19980304.0900.1823
VOM19980302.0900.1291 1.880735e-002 VOM19980302.0900.1291
VOM19980520.0900.0185 1.847221e-002 VOM19980520.0900.0185
VOM19980325.0900.0426 1.834802e-002 VOM19980325.0900.0426
VOM19980413.0900.0234 1.825942e-002 VOM19980413.0900.0234
VOM19980502.0700.0307 1.818731e-002 VOM19980502.0700.0307
VOM19980515.0730.0128 1.803224e-002 VOM19980515.0730.0128
VOM19980618.0700.0187 1.795539e-002 VOM19980618.0700.0187
VOM19980515.0700.0513 1.785527e-002 VOM19980515.0700.0513
VOM19980609.0700.0492 1.785523e-002 VOM19980609.0700.0492
VOM19980403.0900.0987 1.769865e-002 VOM19980403.0900.0987
VOM19980226.0900.1931 1.746041e-002 VOM19980226.0900.1931
VOM19980302.0700.1749 1.734130e-002 VOM19980302.0700.1749
VOM19980508.0900.0068 1.703333e-002 VOM19980508.0900.0068
VOM19980530.0730.0101 1.699964e-002 VOM19980530.0730.0101
VOM19980316.0900.0805 1.661670e-002 VOM19980316.0900.0805
VOM19980509.0730.0066 1.639236e-002 VOM19980509.0730.0066
